Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Sales180Day,Positive Feedback,Promotion Url,Sent
https://ae-pic-a1.aliexpress-media.com/kf/Sc1183587972f41e981808049dd141de7M.jpg,,SBWL High quality Men/woman Outdoor running hiking sports leisure breathable long trousers Fitness pants Business casual pants,USD 11.50,USD 9.70,15%,27,100.0%,https://s.click.aliexpress.com/e/_onsMCID,No
https://ae-pic-a1.aliexpress-media.com/kf/H30637bde7bcb41ed95081241f1811b608.jpg,,Motorcycle Hand Guards For Honda X-ADV 750 XADV 750 X ADV 750 2017 2018 19 2020 Handlebar Handguard Handle Protector Accessories,USD 78.28,USD 23.28,70%,164,93.0%,https://s.click.aliexpress.com/e/_oFUZX3f,No
https://ae-pic-a1.aliexpress-media.com/kf/H131f5c9396224cf9b69a39477c7529bbh.jpg,,Modern Minimalist Wall Lamps Home Decor Living Room Bedroom Bedside 17w Ac96v-260v Led Sconce Black White Light Aisle Decoration,USD 55.71,USD 16.71,70%,258,97.7%,https://s.click.aliexpress.com/e/_oBZEhD7,No
https://ae-pic-a1.aliexpress-media.com/kf/S73a3c73492a140a494d5da57c4e43375S.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/252552881/p/1/e/6/t/10301/1100171854683.mp4,Seamless Yoga Set Women Lycra Gym Clothing Sports Bra Semi-Fixed Cups Workout Tops Anti Rolling Yoga Leggings with Pocket Tights,USD 34.40,USD 12.30,64%,131,89.7%,https://s.click.aliexpress.com/e/_oDHvHSd,No
https://ae-pic-a1.aliexpress-media.com/kf/Sd93b683c8a694426a42ef42b57ed626cN.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/252552881/p/1/e/6/t/10301/1100186980008.mp4,1/2/3Pcs Lycra Workout Sets Womens Seamless Gym Sportswear Shock-proof Sport Bra High Waist Yoga Pants Gym Leggings Tennis Skirt,USD 30.70,USD 11.40,62%,402,98.0%,https://s.click.aliexpress.com/e/_op8UzDx,No
https://ae-pic-a1.aliexpress-media.com/kf/S238fdf7152ec432cb9cd5c0c924abe6cq.jpg,,50x30cm High Density Foam Pad Toolbox Shock-Absorbing Sponge Sheet Hard Flight Case Shadow Foams Toolkit Tools Organizer 45x35cm,USD 13.37,USD 5.62,58%,1476,95.5%,https://s.click.aliexpress.com/e/_oogSUlJ,No
https://ae-pic-a1.aliexpress-media.com/kf/Sefc7a1874107463596418d48ad93c143v.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2659609379/p/1/e/6/t/10301/1100007810600.mp4,PACOONE Outdoor Camping Sleeping Pad Inflatable Mattress with Pillows Ultralight Air Mat Built-in Inflator Pump Travel Hiking,USD 43.79,USD 19.58,55%,3191,95.7%,https://s.click.aliexpress.com/e/_oE80cAD,No
https://ae-pic-a1.aliexpress-media.com/kf/S8535b145d85b40619d3910024474094b0.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/231391785/p/1/e/6/t/10301/1100135707092.mp4,BORWOLF 40070 Professional High-definition Astronomical Telescope 333X To See The Moon and Stars Bird Watching Monocular,USD 118.56,USD 55.44,53%,1972,90.5%,https://s.click.aliexpress.com/e/_omZebm9,No
https://ae-pic-a1.aliexpress-media.com/kf/Sf7aaa5822894433d96fd15f4c6d9a4852.jpg,,Mens Tactical Outdoor Polar Fleece Jacket Hunting Clothes Warm Zipper Pullover Man Windproof Coat Thermal Hiking Camping Sweater,USD 34.15,USD 16.05,53%,1773,92.7%,https://s.click.aliexpress.com/e/_oEglE73,No
https://ae-pic-a1.aliexpress-media.com/kf/S9fea40d4b2af4ce38f9d2d8f9b05e46eB.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2659609379/p/1/e/6/t/10301/1100026107585.mp4,PACOONE Camping Gas Stove Outdoor Windproof Tourist Burner Portable Folding Ultralight Tourism Cooker Equipment  Hiking Picnic,USD 15.31,USD 7.35,52%,52,90.7%,https://s.click.aliexpress.com/e/_olYuLqz,No
