ID,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Sales180Day,Positive Feedback,Product Url
1.0,https://ae-pic-a1.aliexpress-media.com/kf/S1e78ac12be0b44029a1947c96ca15b76w.jpg,,סט שילוב צעצועי כדורסל יצירתי,USD 31.80,USD 14.31,55%,40.0,100.0%,https://s.click.aliexpress.com/e/_oFhDMmV
2.0,https://ae-pic-a1.aliexpress-media.com/kf/S279379350e544e4e999c3424cc390fc0m.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/4243335103/p/1/e/6/t/10301/234720905696.mp4,WOSAWE מוטוקרוס מגני ברכיים מגן מרפקים אופנועים אופנוע מירוצי שטח ציוד מגן סקי מגן סקייטבורד,USD 33.10,USD 11.26,66%,23.0,80.0%,https://s.click.aliexpress.com/e/_ooVh1Bb
3.0,https://ae-pic-a1.aliexpress-media.com/kf/Sde2e5ba426aa42148844b97bcb9a1bd7N.png,,SHIMANO DEORE M5100 M5120 1x11 Speed Groupset MTB אופני הרים מכיל ידית הילוכים אחורית Dearilleur קסטה שרשרת 11V RD-M5120,USD 224.19,USD 105.37,53%,30.0,93.3%,https://s.click.aliexpress.com/e/_oFHRy9j
4.0,https://ae-pic-a1.aliexpress-media.com/kf/S5e7515f00acb492c8edd618f3c303999K.jpg,,SHIMANO SLX M7100 1x12v Groupset 12 הילוכים SL-M7100-R הילוך ו-RD-M7100-SGS מעביר אחורי חלקים מקוריים,USD 120.57,USD 56.67,53%,66.0,96.3%,https://s.click.aliexpress.com/e/_oEig8pj
5.0,https://ae-pic-a1.aliexpress-media.com/kf/Se7ad68b79ccc413fbcea43f367213b92P.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2671056237/p/1/e/6/t/10301/1100185067211.mp4,SHIMANO DEORE SL-M6100 ימינה RD-M6100 SGS 12 הילוכים מעביר אחורי מקורי לאופני הרים חלקי רכיבה MTB,USD 92.55,USD 45.35,51%,34.0,100.0%,https://s.click.aliexpress.com/e/_olzeQut
6.0,https://ae-pic-a1.aliexpress-media.com/kf/Sfe0a09a5d08e40d5ad975cc5d9973c94d.jpg,,SHIMANO DEORE M6100 M8100 קבוצת 12 הילוכים עם שרשרת אחורית הילוכים FC-M6100 CRANKSET תושבת תחתית 11-51T גלגל שיניים קסטה,USD 472.10,USD 221.89,53%,9.0,100.0%,https://s.click.aliexpress.com/e/_ooSSyD3
7.0,https://ae-pic-a1.aliexpress-media.com/kf/S6c446353647a45dab974e89a6c6f77c3g.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/230895872/p/1/e/6/t/10301/1100199603040.mp4,קסדת אופני כביש מקצועית בטיחות רכיבה על אופניים מלאות Mtb משולבת קסדת אופניים קלות איש קסדת אופנוע מוסמכת CE,USD 107.11,USD 53.55,50%,13.0,100.0%,https://s.click.aliexpress.com/e/_ombrge5
8.0,https://ae-pic-a1.aliexpress-media.com/kf/Sde1e3824d1c645959c8d9b311732d8fbM.jpg,,SHIMANO Deore SLX M7100 1X12S Groupset 12V ידית הילוכים אחורי מעביר אחורי CS 10-51T CN 124L FC-M7100 170MM 34T אופני הרים,USD 434.74,USD 213.02,51%,49.0,92.7%,https://s.click.aliexpress.com/e/_oneQ1qv
9.0,https://ae-pic-a1.aliexpress-media.com/kf/Sd149337f4a62401c9a58a2efb5de5413z.jpg,,Vemar מגן ברכיים חדש לאופנוע מגן מרפק מגן ברכיים ציוד ארבע עונות חיצוני ספורט מוטוקרוס מגן ברכיים,USD 75.20,USD 24.07,68%,39.0,96.4%,https://s.click.aliexpress.com/e/_okQCPY5
10.0,https://ae-pic-a1.aliexpress-media.com/kf/S499653718f024e3ca6a5bfe4e14ba5f29.jpg,,"Shimano SLX M7120 4 בוכנות M7100 2 בוכנות סט בלמי דיסק הידראוליים עבור אופני הרים בלם MTB 800/900/1500/1600 מ""מ שמאל וימין",USD 235.42,USD 124.77,47%,89.0,100.0%,https://s.click.aliexpress.com/e/_opa44l7
11.0,https://ae-pic-a1.aliexpress-media.com/kf/S8dfa63cf138840049cc521189f0734c7e.png,https://video.aliexpress-media.com/play/u/ae_sg_item/2675281941/p/1/e/6/t/10301/1100200014264.mp4,קסדת רכיבה על אופניים MTB Full Face אופני הרים קסדת לגברים DH BMX אופנוע שטח אביזרי מרוצי אופניים למבוגרים כובע בטיחות,USD 124.98,USD 59.99,52%,62.0,92.5%,https://s.click.aliexpress.com/e/_oncFDpr
12.0,https://ae-pic-a1.aliexpress-media.com/kf/S91b6a7f3b77e43f38d7fa9261912cb0av.jpg,,קסדת אופני הרים מלאה למבוגרים מירוץ MTB במדרון קסדת לאופני הרים לרכיבה על ציוד בטיחות,USD 93.02,USD 42.79,54%,38.0,96.0%,https://s.click.aliexpress.com/e/_oD2XhXb
13.0,https://ae-pic-a1.aliexpress-media.com/kf/H1ee41bc9a33949c78c6c6cb5d52f3dc60.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/201451647/p/1/e/6/t/10301/4000180556343.mp4,Sunny Pro Field מגן ברכיים רך עבור אופנוע סקי אופני דאון היל מגן החלקה על גלגיליות מגן ברכיים,USD 103.15,USD 35.07,66%,35.0,98.3%,https://s.click.aliexpress.com/e/_okSvfdr
14.0,https://ae-pic-a1.aliexpress-media.com/kf/S126484acea84459f8eb7226d21e352c3Y.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2671009482/p/1/e/6/t/10301/1100218704933.mp4,SHIMANO CUES U6000 1X11Speed מנוף הילוכים אחורי מעביר ארכובה LG400-11 50T קסטה LG500 שרשרת BB-MT501 חלקי אופניים,USD 309.65,USD 161.02,48%,171.0,88.8%,https://s.click.aliexpress.com/e/_oFZuOYD
15.0,https://ae-pic-a1.aliexpress-media.com/kf/Sf7bb3b4209274e72b3fcbf69de48f663l.jpg,,מגני ברכיים לאופנוע גברים רכיבה על אופנוע הגנה על אופנוע מוטוקרוס מגן ברכיים מגן חורף שמירה על חום ציוד אביר,USD 75.79,USD 25.01,67%,4.0,100.0%,https://s.click.aliexpress.com/e/_oFkIIEl
16.0,https://ae-pic-a1.aliexpress-media.com/kf/S7de35b18a6a44f68bd6523a987204c77T.jpg,,"קסדת אופניים לכל פנים לגברים נשים אופני כביש קסדת מצחייה מתכווננת יציאת משקפי מגן 55-59 ס""מ קסדת אופניים עמידה בפני פגיעות",USD 76.42,USD 35.92,53%,58.0,92.2%,https://s.click.aliexpress.com/e/_olc5c7n
17.0,https://ae-pic-a1.aliexpress-media.com/kf/S546e332124df4a709b4e3a56ed881af5p.jpg,,Shimano BR BL MT200 בלם הידראולי לאופניים MTB בלם דיסק הידראולי שדרוג אופני הרים חלקי אופניים MT315,USD 83.03,USD 40.69,51%,104.0,100.0%,https://s.click.aliexpress.com/e/_omApSLJ
18.0,https://ae-pic-a1.aliexpress-media.com/kf/Saeccd4f8d1bf41699d782993c908c82dm.jpg,,WOSAWE מגיני מרפקים וברכיים סט הגנת רכיבה על אופניים מגן ברכיים לריקוד ברך ציוד תמיכה MTB מגן ברכיים,USD 13.58,USD 3.67,73%,10.0,100.0%,https://s.click.aliexpress.com/e/_okauoD3
19.0,https://ae-pic-a1.aliexpress-media.com/kf/S27fd09fbd9ce40648fd8934e33b75db8z.jpg,,Batfox 3/4 BMX קסדת אופניים Mtb OFF Road חצי קסדת אופני הרים מרוץ אוזניים משולבת הגנת אוזניים קסדת רכיבה על אופניים,USD 77.90,USD 46.74,40%,121.0,90.4%,https://s.click.aliexpress.com/e/_oEEP9U9
20.0,https://ae-pic-a1.aliexpress-media.com/kf/Sc8b2d97a0ed044049834d03dbbc39753X.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/234080320/p/1/e/6/t/10301/1100135763950.mp4,סט רפידות מרפקים ברך BenKen רכיבה על אופניים סקי Rodilleras בלימת זעזועים לאבטחת מפרקים ציוד הגנה EVA,USD 51.48,USD 28.31,45%,67.0,93.3%,https://s.click.aliexpress.com/e/_ompnvxx
21.0,https://ae-pic-a1.aliexpress-media.com/kf/S70f440399dd2468180f34c28ad9a1101f.jpg,,"MHW 3BOMBER 58 מ""מ WDT כלי הפצה 14 מחטים מתכוונן מפיץ אספרסו בוחש אביזרי כלי קפה מקצועיים",USD 233.89,USD 65.49,72%,166.0,92.5%,https://s.click.aliexpress.com/e/_onqvjYl
22.0,https://ae-pic-a1.aliexpress-media.com/kf/S07518269e1d64473b43efb10bfd8b5256.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2667817593/p/1/e/6/t/10301/4000229632542.mp4,מגן ברכיים מגן לאופנועים של מותג T לרכיבת שטח וכביש מהיר עם הגנה מכנית לרגליים ומגני שלד חיצוני,USD 282.02,USD 194.59,31%,139.0,92.6%,https://s.click.aliexpress.com/e/_oC7fIop
23.0,https://ae-pic-a1.aliexpress-media.com/kf/Sad88ae62552e4637bff32435ed4596d2N.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/952244710/p/1/e/6/t/10301/322061641157.mp4,בלם כרטיס דיסק KOOZER XM490 PRO רכזת אופני הרים MTB 4 רכזות אופניים נושאות 32 חורים תמיכה במהירות 8/9/10/11 רכזת אחורית או קדמית,USD 40.64,USD 18.29,55%,52.0,98.2%,https://s.click.aliexpress.com/e/_okqAcGZ
24.0,https://ae-pic-a1.aliexpress-media.com/kf/S6b715f3a1dab47048b462f49c2791631T.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2657473192/p/1/e/6/t/10301/4000236938926.mp4,DEWALT DCF860 מתקן אימפקט 20V MAX נטענת רב תכליתי מקדחה חשמלית ללא מברשות כלי חשמלי DCF860N,USD 308.43,USD 200.48,35%,2.0,100.0%,https://s.click.aliexpress.com/e/_opOpmrR
25.0,https://ae-pic-a1.aliexpress-media.com/kf/S086cfad1ef604d2984fbbb3cf2c1da9eg.jpg,,"SHIMANO CUES U6000 1X10 Speed Groupset SL-U6000-10R מעביר אחורי SGS 11-48T CN-LG500 170/175 מ""מ ארכובה מקורי",USD 309.35,USD 151.58,51%,47.0,100.0%,https://s.click.aliexpress.com/e/_oo3rjNr
26.0,https://ae-pic-a1.aliexpress-media.com/kf/S7c001911f73d4119a15d9a72e1fd9426Q.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/116658786/p/1/e/6/t/10301/1100223617080.mp4,(2XS-2XL) 1 זוג ילדים נוער למבוגרים כדורסל ארוך חלת דבש MTB מגן ברכיים נגד התנגשות כדורגל שוק רגל שרוולים ספורט ברך,USD 22.36,USD 11.18,50%,15.0,100.0%,https://s.click.aliexpress.com/e/_oBY0Vip
27.0,https://ae-pic-a1.aliexpress-media.com/kf/S0ee1cdc037b74ef1878842c084161c98O.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/228081202/p/1/e/6/t/10301/4000180734216.mp4,SHIMANO DEORE M6100 12s Groupset SL M6100 ידית הילוכים RD M6100 SGS מעביר אחורי 12 הילוכים 12V SHIFTER SWTICH Basic M7100 M8100,USD 91.42,USD 39.66,56%,1144.0,97.8%,https://s.click.aliexpress.com/e/_ok5H0xn
